time_s	force_N
18.110430	1.447475
18.112500	-0.109821
18.114570	0.279503
18.116640	0.279503
18.118710	0.279503
18.120780	0.279503
18.122850	0.279503
18.124920	0.668827
18.126990	0.668827
18.129060	0.668827
18.131130	0.668827
18.133200	1.058151
18.135270	1.058151
18.137340	0.279503
18.139410	0.279503
18.141480	0.279503
18.143550	1.447475
18.145620	-0.109821
18.147690	0.279503
18.149760	0.668827
18.151830	-0.109821
18.153900	1.058151
18.155970	-0.109821
18.158040	0.279503
18.160110	-0.109821
18.162180	-0.109821
18.164250	0.279503
18.166320	0.668827
18.168390	0.668827
18.170460	0.668827
18.172530	0.279503
18.174600	-0.109821
18.176670	-0.109821
18.178740	-0.109821
18.180810	0.279503
18.182880	0.668827
18.184950	-0.109821
18.187020	0.279503
18.189090	-0.109821
18.191160	0.668827
18.193230	0.279503
18.195300	0.279503
18.197370	1.058151
18.199440	1.447475
18.201510	1.058151
18.203580	-0.109821
18.205650	-0.109821
18.207720	0.279503
18.209790	0.279503
18.211860	0.668827
18.213930	0.279503
18.216000	0.279503
18.218070	1.058151
18.220140	-0.109821
18.222210	0.279503
18.224280	1.058151
18.226350	0.668827
18.228420	0.668827
18.230490	1.058151
18.232560	0.668827
18.234630	0.668827
18.236700	-0.109821
18.238770	0.668827
18.240840	1.058151
18.242910	0.668827
18.244980	1.058151
18.247050	1.058151
18.249120	0.668827
18.251190	0.668827
18.253260	0.279503
18.255330	0.668827
18.257400	0.279503
18.259470	1.058151
18.261540	1.058151
18.263610	-0.109821
18.265680	0.279503
18.267750	1.058151
18.269820	0.279503
18.271890	-0.499145
18.273960	-0.109821
18.276030	-0.109821
18.278100	0.668827
18.280170	1.058151
18.282240	0.279503
18.284310	0.668827
18.286380	0.668827
18.288450	0.668827
18.290520	0.279503
18.292590	-0.109821
18.294660	0.279503
18.296730	0.279503
18.298800	0.668827
18.300870	-0.109821
18.302940	1.058151
18.305010	0.279503
18.307080	0.668827
18.309150	0.668827
18.311220	0.668827
18.313290	0.279503
18.315360	1.058151
18.317430	0.668827
18.319500	-0.109821
18.321570	1.058151
18.323640	1.058151
18.325710	0.668827
18.327780	0.279503
18.329850	-0.109821
18.331920	0.279503
18.333990	0.668827
18.336060	0.668827
18.338130	0.668827
18.340200	0.668827
18.342270	0.668827
18.344340	0.279503
18.346410	0.279503
18.348480	-0.109821
18.350550	0.279503
18.352620	0.668827
18.354690	0.279503
18.356760	1.058151
18.358830	0.668827
18.360900	0.279503
18.362970	1.058151
18.365040	0.279503
18.367110	0.668827
18.369180	1.058151
18.371250	0.668827
18.373320	-0.109821
18.375390	0.668827
18.377460	1.447475
18.379530	-0.109821
18.381600	0.279503
18.383670	1.447475
18.385740	0.668827
18.387810	1.058151
18.389880	0.279503
18.391950	1.058151
